$VISION
* File: C:\Users\gdt5762\Documents\MyFirstSim.inpx
* Comment: 
* Date: 5/2/2021 12:40:21 PM
* PTV Vissim: 2020.00 [13]
* 
* Table: Vehicles In Network
* 
* SIMSEC: SimSec, Simulation second (Simulation time [s]) [s]
* NO: No, Number (Unique vehicle number)
* COORDFRONTX: CoordFrontX, Coordinate front (x) (X-coordinate of vechicle’s front end)
* COORDFRONTY: CoordFrontY, Coordinate front (y) (Y-coordinate of vechicle’s front end)
* COORDFRONTZ: CoordFrontZ, Coordinate front (z) (Z-coordinate of vechicle’s front end) [m]
* SPEED: Speed, Speed (Speed at the end of the time step) [km/h]
* ORIENTATIONANGLE: OrientationAngle, Orientation angle
* 
* SimSec;No;CoordFrontX;CoordFrontY;CoordFrontZ;Speed;OrientationAngle
* Simulation second;Number;Coordinate front (x);Coordinate front (y);Coordinate front (z);Speed;Orientation angle
*
$VEHICLE:SIMSEC;NO;COORDFRONTX;COORDFRONTY;COORDFRONTZ;SPEED;ORIENTATIONANGLE
5.10;2;98.208;242.463;0.000;51.05;246.13
5.10;3;188.195;134.797;0.000;54.92;181.07
5.10;4;105.375;258.660;0.000;51.29;246.13
5.10;5;-95.644;122.957;0.000;54.29;0.25
5.10;6;224.504;135.476;0.000;53.15;181.07
5.20;1;-34.179;123.222;0.000;58.25;0.25
5.20;2;97.635;241.166;0.000;51.05;246.13
5.20;3;186.669;134.768;0.000;54.94;181.07
5.20;4;104.799;257.357;0.000;51.29;246.13
5.20;5;-94.136;122.964;0.000;54.35;0.25
5.20;6;223.028;135.448;0.000;53.15;181.07
5.30;1;-32.562;123.229;0.000;58.19;0.25
5.30;2;97.061;239.870;0.000;51.05;246.13
5.30;3;185.143;134.740;0.000;54.95;181.07
5.30;4;104.222;256.055;0.000;51.28;246.13
5.30;5;-92.625;122.970;0.000;54.41;0.25
5.30;6;221.551;135.421;0.000;53.15;181.07
5.40;1;-30.947;123.222;0.000;58.12;0.09
5.40;2;96.487;238.573;0.000;51.05;246.13
5.40;3;183.617;134.711;0.000;54.96;181.07
5.40;4;103.646;254.752;0.000;51.28;246.13
5.40;5;-91.113;122.977;0.000;54.48;0.25
5.40;6;220.075;135.393;0.000;53.15;181.07
5.50;1;-29.333;123.191;0.000;58.06;359.72
5.50;2;95.913;237.276;0.000;51.05;246.13
5.50;3;182.090;134.683;0.000;54.98;181.07
5.50;4;103.069;253.449;0.000;51.28;246.13
5.50;5;-89.599;122.983;0.000;54.54;0.25
5.50;6;218.599;135.365;0.000;53.15;181.07
5.60;1;-27.722;123.163;0.000;57.99;359.49
5.60;2;95.340;235.979;0.000;51.05;246.13
5.60;3;180.563;134.654;0.000;54.99;181.07
5.60;4;102.493;252.147;0.000;51.28;246.13
5.60;5;-88.083;122.990;0.000;54.60;0.25
5.60;6;217.123;135.338;0.000;53.15;181.07
5.70;1;-26.112;123.136;0.000;57.93;359.34
5.70;2;94.766;234.683;0.000;51.05;246.13
5.70;3;179.036;134.626;0.000;55.01;181.07
5.70;4;101.917;250.844;0.000;51.28;246.13
5.70;5;-86.565;122.996;0.000;54.66;0.25
5.70;6;215.646;135.310;0.000;53.15;181.07
5.80;1;-24.504;123.110;0.000;57.86;359.26
5.80;2;94.192;233.386;0.000;51.05;246.13
5.80;3;177.508;134.597;0.000;55.02;181.07
5.80;4;101.340;249.542;0.000;51.28;246.13
5.80;5;-85.046;123.003;0.000;54.73;0.25
5.80;6;214.170;135.283;0.000;53.15;181.07
5.90;1;-22.898;123.084;0.000;57.79;359.20
5.90;2;93.618;232.089;0.000;51.05;246.13
5.90;3;175.979;134.568;0.000;55.04;181.07
5.90;4;100.764;248.239;0.000;51.27;246.13
5.90;5;-83.525;123.009;0.000;54.79;0.25
5.90;6;212.694;135.255;0.000;53.15;181.07
6.00;1;-21.294;123.059;0.000;57.73;359.17
6.00;2;93.044;230.792;0.000;51.05;246.13
6.00;3;174.451;134.540;0.000;55.05;181.07
6.00;4;100.188;246.937;0.000;51.27;246.13
6.00;5;-82.002;123.016;0.000;54.85;0.25
6.00;6;211.218;135.227;0.000;53.15;181.07
6.10;1;-19.691;123.034;0.000;57.66;359.15
6.10;2;92.471;229.495;0.000;51.05;246.13
6.10;3;172.921;134.511;0.000;55.07;181.07
