File,Mean,Max,Peak,Peak to Peak,RMS,Variance,Standard Deviation,Power,Crest Factor,Pulse Indicator,Margin,Kurtosis,Skewness,Zero Crossings,Samples,Mean of Band Power Spectrum,Max of Band Power Spectrum,Sum of Total Band Power,Peak of Band Power,Variance of Band Power,Standard Deviation of Band Power,Skewness of Band Power,Kurtosis of Band Power,Relative Spectral Peak per Band
2024-07-25_12:52:28_11,0.0002070355403702706,0.6968404054641724,0.6968404054641724,1.363924503326416,0.3117835521697998,0.0972089096903801,0.31178343296051025,0.09720897674560547,2.235013246536255,3365.80078125,3.1263630414697205,-1.1598530992331184,-0.0002726363629706409,465687,540000,0.09720897219923498,10890.405925925927,104985.68997517378,10890.405925925927,545.3275375280691,23.35224908928622,333.66857451774143,126464.09269950012,112030.8720434309
2024-07-25_12:52:28_110,7.253473449964076e-05,0.421418160200119,0.421418160200119,0.842497706413269,0.06565066426992416,0.004310003947466612,0.06565061956644058,0.0043100095354020596,6.419099807739258,5809.880859375,12.535299165728354,2.305919339192327,-0.007795131416236999,1081766,989800,0.004310009005410033,9.830827439886846,8579.745286673515,9.830827439886846,0.0021189117259939566,0.046031638315336514,54.11866490733561,5826.132531371229,2280.929674983728
2024-07-25_12:52:28_111,0.0001629543985472992,0.9655529856681824,0.9882976412773132,1.9538506269454956,0.17669332027435303,0.03122049756348133,0.17669323086738586,0.031220531091094017,5.5932936668396,6064.87255859375,12.431130083108545,2.044009489313532,0.0030211645338654824,1111951,1028300,0.031220517011291166,42.748229116016724,64738.86407461336,42.748229116016724,0.09770018631931113,0.31257029020575694,38.968255344492945,2614.713571488985,1369.2351443301359
2024-07-25_12:52:28_112,0.0001519575744168833,1.0484639406204224,1.0484639406204224,2.0568454265594482,0.28086426854133606,0.07888472825288773,0.28086423873901367,0.07888473570346832,3.7329914569854736,6899.71484375,9.626654441228876,1.8858677929660503,-0.0005713240254106998,1134396,1022800,0.0788847160129768,219.4785764567853,161555.89839457648,219.4785764567853,2.545508367345409,1.59546493767347,44.91141853995446,2913.040047543887,2782.269970024109
2024-07-25_12:52:28_113,0.00017444895638618618,0.3238564431667328,0.3487180471420288,0.672574520111084,0.05503573268651962,0.0030289017595350742,0.055035460740327835,0.0030289317946881056,6.336211681365967,1998.968994140625,10.15581589218515,1.057872208582543,0.0036643127768592634,678216,632400,0.0030289324290538036,2.1719777830487033,3833.49260552122,2.1719777830487033,0.0003777202074511026,0.019435025275288495,35.49556699102791,1970.2591691261516,717.0770011951699
2024-07-25_12:52:28_114,0.0001754304685164243,1.0322400331497192,1.0322400331497192,2.044844627380371,0.19255609810352325,0.037077803164720535,0.1925559788942337,0.037077851593494415,5.360723495483398,5884.041015625,11.451194959706445,1.8161139327138613,-0.0007542937148538366,1098578,1011800,0.03707783598118466,38.28432496540818,75082.61786189894,38.28432496540818,0.13088163803116315,0.36177567363099905,35.138321307200094,1970.3487945742288,1032.5393581447354
2024-07-25_12:52:28_115,0.00023303118359763175,0.1946699023246765,0.20407725870609283,0.39874714612960815,0.03659535199403763,0.0013391653774306178,0.036594606935977936,0.0013392198598012328,5.576589584350586,875.7508544921875,8.66870152009768,0.9018566905106882,0.02334787506445495,5847,5965,0.0013392198598012328,0.01822505332529545,16.07063865661621,0.01822505332529545,1.9610902199929114e-06,0.001400389359332621,2.444373744354069,11.018713278627411,13.608709335327148
2024-07-25_12:52:28_116,-0.0004119712975807488,0.48720455169677734,0.48720455169677734,0.9148749113082886,0.07511243969202042,0.0056417095474898815,0.07511131465435028,0.0056418790481984615,6.4863362312316895,-1182.61767578125,9.935811241381373,0.5051097995271965,-0.01115242307195828,5174,5380,0.005641878582537174,0.06344180554151535,60.932289123535156,0.06344180554151535,3.304536221548915e-05,0.005748509429395199,2.12276728534009,7.298063416508157,11.24480152130127
2024-07-25_12:52:28_117,-0.0005635841516777873,0.29274553060531616,0.29274553060531616,0.5589250326156616,0.06468011438846588,0.004183199722319841,0.0646776631474495,0.004183517303317785,4.5260515213012695,-519.4353637695312,7.092233386906707,0.4234429440394223,-0.05248429108061467,3188,3330,0.004183517303317785,0.04176674783229828,28.238740921020508,0.04176674783229828,1.9797647837549448e-05,0.004449454601854086,2.3539378093668826,8.432110333496821,9.983644485473633
2024-07-25_12:52:28_118,-0.0003642214578576386,0.22922684252262115,0.22922684252262115,0.44237029552459717,0.04832307994365692,0.0023349877446889877,0.048321712762117386,0.002335120225325227,4.743630409240723,-629.3611450195312,8.603083972392996,0.7470542478161168,-0.0241017307234454,2017,2360,0.0023351204581558704,0.025172824040055275,11.208578109741211,0.025172824040055275,5.786840119981207e-06,0.002405585255473852,2.2622730656892207,8.783831854119905,10.780097007751465
2024-07-25_12:52:28_119,0.0005645555793307722,0.5549176931381226,0.5847190022468567,1.139636754989624,0.1203342080116272,0.014480001293122768,0.12033287435770035,0.014480320736765862,4.859125137329102,1035.715576171875,7.357478344301315,0.27638765854414116,-0.006236027568273121,5434,5590,0.014480320736765862,0.17724980413913727,162.9036102294922,0.17724980413913727,0.00022447717492468655,0.014982562512159348,2.501220492059028,11.939942301079109,12.240736961364746
2024-07-25_12:52:28_12,0.0002551273792050779,0.5332282781600952,0.5332282781600952,1.0244625806808472,0.18082040548324585,0.0326959565281868,0.18082022666931152,0.03269601985812187,2.9489386081695557,2090.04736328125,3.8740662847800595,-1.06387525448302,-0.0006065128059382893,420576,489000,0.032696012010789206,3208.3778486707565,32141.48764708622,3208.3778486707565,53.36763047177458,7.305315220561983,357.8563416909625,142212.28673356507,98127.49786157525
2024-07-25_12:52:28_120,0.004870234522968531,0.7944251298904419,0.8767713308334351,1.671196460723877,0.2543615400791168,0.06467606872320175,0.2543148994445801,0.06469979137182236,3.4469492435455322,180.02650451660156,5.907237670534233,0.6527504581709995,0.03974515527266121,691,696,0.06469978392124176,0.3782670795917511,93.16769409179688,0.3782670795917511,0.00432260986417532,0.06574656069278717,1.8981237591872746,4.211781827864056,5.84649658203125
